"from","to","target","source"
"Aamir Khan","Kareena Kapoor",2,1
"Aamir Khan","Madhavan",3,1
"Aamir Khan","Sharman Joshi",4,1
"Aamir Khan","Omi Vaidya",5,1
"Aamir Khan","Boman Irani",6,1
"Aamir Khan","Mona Singh",7,1
"Aamir Khan","Javed Jaffrey",17,1
"Kareena Kapoor","Madhavan",3,2
"Kareena Kapoor","Sharman Joshi",4,2
"Kareena Kapoor","Omi Vaidya",5,2
"Kareena Kapoor","Boman Irani",6,2
"Kareena Kapoor","Mona Singh",7,2
"Kareena Kapoor","Javed Jaffrey",17,2
"Madhavan","Sharman Joshi",4,3
"Madhavan","Omi Vaidya",5,3
"Madhavan","Boman Irani",6,3
"Madhavan","Mona Singh",7,3
"Madhavan","Javed Jaffrey",17,3
"Sharman Joshi","Omi Vaidya",5,4
"Sharman Joshi","Boman Irani",6,4
"Sharman Joshi","Mona Singh",7,4
"Sharman Joshi","Javed Jaffrey",17,4
"Omi Vaidya","Boman Irani",6,5
"Omi Vaidya","Mona Singh",7,5
"Omi Vaidya","Javed Jaffrey",17,5
"Boman Irani","Mona Singh",7,6
"Boman Irani","Javed Jaffrey",17,6
"Mona Singh","Javed Jaffrey",17,7
"Abhishek Bachchan","Priyanka Chopra",9,8
"Abhishek Bachchan","Riteish Deshmukh",10,8
"Abhishek Bachchan","Boman Irani",6,8
"Abhishek Bachchan","Nana Patekar",11,8
"Abhishek Bachchan","Sanjay Mishra",12,8
"Abhishek Bachchan","Tinnu Anand",13,8
"Abhishek Bachchan","Hussain Shaikh",167,8
"Priyanka Chopra","Riteish Deshmukh",10,9
"Priyanka Chopra","Boman Irani",6,9
"Priyanka Chopra","Nana Patekar",11,9
"Priyanka Chopra","Sanjay Mishra",12,9
"Priyanka Chopra","Tinnu Anand",13,9
"Priyanka Chopra","Hussain Shaikh",167,9
"Riteish Deshmukh","Boman Irani",6,10
"Riteish Deshmukh","Nana Patekar",11,10
"Riteish Deshmukh","Sanjay Mishra",12,10
"Riteish Deshmukh","Tinnu Anand",13,10
"Riteish Deshmukh","Hussain Shaikh",167,10
"Boman Irani","Nana Patekar",11,6
"Boman Irani","Sanjay Mishra",12,6
"Boman Irani","Tinnu Anand",13,6
"Boman Irani","Hussain Shaikh",167,6
"Nana Patekar","Sanjay Mishra",12,11
"Nana Patekar","Tinnu Anand",13,11
"Nana Patekar","Hussain Shaikh",167,11
"Sanjay Mishra","Tinnu Anand",13,12
"Sanjay Mishra","Hussain Shaikh",167,12
"Tinnu Anand","Hussain Shaikh",167,13
"Amitabh Bachchan","Gulshan Grover",15,14
"Amitabh Bachchan","Jackie Shroff",16,14
"Amitabh Bachchan","Javed Jaffrey",17,14
"Amitabh Bachchan","Katrina Kaif",18,14
"Amitabh Bachchan","Madhu Sapre",19,14
"Amitabh Bachchan","Padma Lakshmi",20,14
"Amitabh Bachchan","Seema Biswas",21,14
"Amitabh Bachchan","Zeenat Aman",22,14
"Amitabh Bachchan","Boman Irani",6,14
"Gulshan Grover","Jackie Shroff",16,15
"Gulshan Grover","Javed Jaffrey",17,15
"Gulshan Grover","Katrina Kaif",18,15
"Gulshan Grover","Madhu Sapre",19,15
"Gulshan Grover","Padma Lakshmi",20,15
"Gulshan Grover","Seema Biswas",21,15
"Gulshan Grover","Zeenat Aman",22,15
"Gulshan Grover","Boman Irani",6,15
"Jackie Shroff","Javed Jaffrey",17,16
"Jackie Shroff","Katrina Kaif",18,16
"Jackie Shroff","Madhu Sapre",19,16
"Jackie Shroff","Padma Lakshmi",20,16
"Jackie Shroff","Seema Biswas",21,16
"Jackie Shroff","Zeenat Aman",22,16
"Jackie Shroff","Boman Irani",6,16
"Javed Jaffrey","Katrina Kaif",18,17
"Javed Jaffrey","Madhu Sapre",19,17
"Javed Jaffrey","Padma Lakshmi",20,17
"Javed Jaffrey","Seema Biswas",21,17
"Javed Jaffrey","Zeenat Aman",22,17
"Javed Jaffrey","Boman Irani",6,17
"Katrina Kaif","Madhu Sapre",19,18
"Katrina Kaif","Padma Lakshmi",20,18
"Katrina Kaif","Seema Biswas",21,18
"Katrina Kaif","Zeenat Aman",22,18
"Katrina Kaif","Boman Irani",6,18
"Madhu Sapre","Padma Lakshmi",20,19
"Madhu Sapre","Seema Biswas",21,19
"Madhu Sapre","Zeenat Aman",22,19
"Madhu Sapre","Boman Irani",6,19
"Padma Lakshmi","Seema Biswas",21,20
"Padma Lakshmi","Zeenat Aman",22,20
"Padma Lakshmi","Boman Irani",6,20
"Seema Biswas","Zeenat Aman",22,21
"Seema Biswas","Boman Irani",6,21
"Zeenat Aman","Boman Irani",6,22
"Aftab Shivdasani","Antara Mali",24,23
"Aftab Shivdasani","Boman Irani",6,23
"Aftab Shivdasani","Isha Koppikar",25,23
"Aftab Shivdasani","Nana Patekar",11,23
"Aftab Shivdasani","Raghuvir Yadav",26,23
"Aftab Shivdasani","Rajpal Yadav",27,23
"Aftab Shivdasani","Revathy",28,23
"Aftab Shivdasani","Saif Ali Khan",29,23
"Aftab Shivdasani","Sameera Reddy",30,23
"Aftab Shivdasani","Sanjay Kapoor",31,23
"Aftab Shivdasani","Shilpa Shetty",32,23
"Aftab Shivdasani","Sohail Khan",33,23
"Aftab Shivdasani","Vivek Oberoi",168,23
"Antara Mali","Boman Irani",6,24
"Antara Mali","Isha Koppikar",25,24
"Antara Mali","Nana Patekar",11,24
"Antara Mali","Raghuvir Yadav",26,24
"Antara Mali","Rajpal Yadav",27,24
"Antara Mali","Revathy",28,24
"Antara Mali","Saif Ali Khan",29,24
"Antara Mali","Sameera Reddy",30,24
"Antara Mali","Sanjay Kapoor",31,24
"Antara Mali","Shilpa Shetty",32,24
"Antara Mali","Sohail Khan",33,24
"Antara Mali","Vivek Oberoi",168,24
"Boman Irani","Isha Koppikar",25,6
"Boman Irani","Nana Patekar",11,6
"Boman Irani","Raghuvir Yadav",26,6
"Boman Irani","Rajpal Yadav",27,6
"Boman Irani","Revathy",28,6
"Boman Irani","Saif Ali Khan",29,6
"Boman Irani","Sameera Reddy",30,6
"Boman Irani","Sanjay Kapoor",31,6
"Boman Irani","Shilpa Shetty",32,6
"Boman Irani","Sohail Khan",33,6
"Boman Irani","Vivek Oberoi",168,6
"Isha Koppikar","Nana Patekar",11,25
"Isha Koppikar","Raghuvir Yadav",26,25
"Isha Koppikar","Rajpal Yadav",27,25
"Isha Koppikar","Revathy",28,25
"Isha Koppikar","Saif Ali Khan",29,25
"Isha Koppikar","Sameera Reddy",30,25
"Isha Koppikar","Sanjay Kapoor",31,25
"Isha Koppikar","Shilpa Shetty",32,25
"Isha Koppikar","Sohail Khan",33,25
"Isha Koppikar","Vivek Oberoi",168,25
"Nana Patekar","Raghuvir Yadav",26,11
"Nana Patekar","Rajpal Yadav",27,11
"Nana Patekar","Revathy",28,11
"Nana Patekar","Saif Ali Khan",29,11
"Nana Patekar","Sameera Reddy",30,11
"Nana Patekar","Sanjay Kapoor",31,11
"Nana Patekar","Shilpa Shetty",32,11
"Nana Patekar","Sohail Khan",33,11
"Nana Patekar","Vivek Oberoi",168,11
"Raghuvir Yadav","Rajpal Yadav",27,26
"Raghuvir Yadav","Revathy",28,26
"Raghuvir Yadav","Saif Ali Khan",29,26
"Raghuvir Yadav","Sameera Reddy",30,26
"Raghuvir Yadav","Sanjay Kapoor",31,26
"Raghuvir Yadav","Shilpa Shetty",32,26
"Raghuvir Yadav","Sohail Khan",33,26
"Raghuvir Yadav","Vivek Oberoi",168,26
"Rajpal Yadav","Revathy",28,27
"Rajpal Yadav","Saif Ali Khan",29,27
"Rajpal Yadav","Sameera Reddy",30,27
"Rajpal Yadav","Sanjay Kapoor",31,27
"Rajpal Yadav","Shilpa Shetty",32,27
"Rajpal Yadav","Sohail Khan",33,27
"Rajpal Yadav","Vivek Oberoi",168,27
"Revathy","Saif Ali Khan",29,28
"Revathy","Sameera Reddy",30,28
"Revathy","Sanjay Kapoor",31,28
"Revathy","Shilpa Shetty",32,28
"Revathy","Sohail Khan",33,28
"Revathy","Vivek Oberoi",168,28
"Saif Ali Khan","Sameera Reddy",30,29
"Saif Ali Khan","Sanjay Kapoor",31,29
"Saif Ali Khan","Shilpa Shetty",32,29
"Saif Ali Khan","Sohail Khan",33,29
"Saif Ali Khan","Vivek Oberoi",168,29
"Sameera Reddy","Sanjay Kapoor",31,30
"Sameera Reddy","Shilpa Shetty",32,30
"Sameera Reddy","Sohail Khan",33,30
"Sameera Reddy","Vivek Oberoi",168,30
"Sanjay Kapoor","Shilpa Shetty",32,31
"Sanjay Kapoor","Sohail Khan",33,31
"Sanjay Kapoor","Vivek Oberoi",168,31
"Shilpa Shetty","Sohail Khan",33,32
"Shilpa Shetty","Vivek Oberoi",168,32
"Sohail Khan","Vivek Oberoi",168,33
"John Abraham","Bipasha Basu",35,34
"John Abraham","Arshad Warsi",36,34
"John Abraham","Shernaz Patel",37,34
"John Abraham","Boman Irani",6,34
"John Abraham","Dibyendu Bhattacharya",38,34
"John Abraham","Gilbert Montoya",39,34
"John Abraham","Dalip Tahil",40,34
"John Abraham","Rajendranath Zutshi",169,34
"Bipasha Basu","Arshad Warsi",36,35
"Bipasha Basu","Shernaz Patel",37,35
"Bipasha Basu","Boman Irani",6,35
"Bipasha Basu","Dibyendu Bhattacharya",38,35
"Bipasha Basu","Gilbert Montoya",39,35
"Bipasha Basu","Dalip Tahil",40,35
"Bipasha Basu","Rajendranath Zutshi",169,35
"Arshad Warsi","Shernaz Patel",37,36
"Arshad Warsi","Boman Irani",6,36
"Arshad Warsi","Dibyendu Bhattacharya",38,36
"Arshad Warsi","Gilbert Montoya",39,36
"Arshad Warsi","Dalip Tahil",40,36
"Arshad Warsi","Rajendranath Zutshi",169,36
"Shernaz Patel","Boman Irani",6,37
"Shernaz Patel","Dibyendu Bhattacharya",38,37
"Shernaz Patel","Gilbert Montoya",39,37
"Shernaz Patel","Dalip Tahil",40,37
"Shernaz Patel","Rajendranath Zutshi",169,37
"Boman Irani","Dibyendu Bhattacharya",38,6
"Boman Irani","Gilbert Montoya",39,6
"Boman Irani","Dalip Tahil",40,6
"Boman Irani","Rajendranath Zutshi",169,6
"Dibyendu Bhattacharya","Gilbert Montoya",39,38
"Dibyendu Bhattacharya","Dalip Tahil",40,38
"Dibyendu Bhattacharya","Rajendranath Zutshi",169,38
"Gilbert Montoya","Dalip Tahil",40,39
"Gilbert Montoya","Rajendranath Zutshi",169,39
"Dalip Tahil","Rajendranath Zutshi",169,40
"Shah Rukh Khan","Kajol",42,41
"Shah Rukh Khan","Kriti Sanon",43,41
"Shah Rukh Khan","Kabir Bedi",44,41
"Shah Rukh Khan","Varun Dhawan",45,41
"Shah Rukh Khan","Boman Irani",6,41
"Shah Rukh Khan","Johnny Lever",46,41
"Shah Rukh Khan","Varun Sharma",47,41
"Shah Rukh Khan","Sanjay Mishra",12,41
"Shah Rukh Khan","Vinod Khanna",48,41
"Shah Rukh Khan","Mukesh Tiwari",49,41
"Shah Rukh Khan","Pankaj Tripathi",50,41
"Shah Rukh Khan","Shawar Ali",170,41
"Kajol","Kriti Sanon",43,42
"Kajol","Kabir Bedi",44,42
"Kajol","Varun Dhawan",45,42
"Kajol","Boman Irani",6,42
"Kajol","Johnny Lever",46,42
"Kajol","Varun Sharma",47,42
"Kajol","Sanjay Mishra",12,42
"Kajol","Vinod Khanna",48,42
"Kajol","Mukesh Tiwari",49,42
"Kajol","Pankaj Tripathi",50,42
"Kajol","Shawar Ali",170,42
"Kriti Sanon","Kabir Bedi",44,43
"Kriti Sanon","Varun Dhawan",45,43
"Kriti Sanon","Boman Irani",6,43
"Kriti Sanon","Johnny Lever",46,43
"Kriti Sanon","Varun Sharma",47,43
"Kriti Sanon","Sanjay Mishra",12,43
"Kriti Sanon","Vinod Khanna",48,43
"Kriti Sanon","Mukesh Tiwari",49,43
"Kriti Sanon","Pankaj Tripathi",50,43
"Kriti Sanon","Shawar Ali",170,43
"Kabir Bedi","Varun Dhawan",45,44
"Kabir Bedi","Boman Irani",6,44
"Kabir Bedi","Johnny Lever",46,44
"Kabir Bedi","Varun Sharma",47,44
"Kabir Bedi","Sanjay Mishra",12,44
"Kabir Bedi","Vinod Khanna",48,44
"Kabir Bedi","Mukesh Tiwari",49,44
"Kabir Bedi","Pankaj Tripathi",50,44
"Kabir Bedi","Shawar Ali",170,44
"Varun Dhawan","Boman Irani",6,45
"Varun Dhawan","Johnny Lever",46,45
"Varun Dhawan","Varun Sharma",47,45
"Varun Dhawan","Sanjay Mishra",12,45
"Varun Dhawan","Vinod Khanna",48,45
"Varun Dhawan","Mukesh Tiwari",49,45
"Varun Dhawan","Pankaj Tripathi",50,45
"Varun Dhawan","Shawar Ali",170,45
"Boman Irani","Johnny Lever",46,6
"Boman Irani","Varun Sharma",47,6
"Boman Irani","Sanjay Mishra",12,6
"Boman Irani","Vinod Khanna",48,6
"Boman Irani","Mukesh Tiwari",49,6
"Boman Irani","Pankaj Tripathi",50,6
"Boman Irani","Shawar Ali",170,6
"Johnny Lever","Varun Sharma",47,46
"Johnny Lever","Sanjay Mishra",12,46
"Johnny Lever","Vinod Khanna",48,46
"Johnny Lever","Mukesh Tiwari",49,46
"Johnny Lever","Pankaj Tripathi",50,46
"Johnny Lever","Shawar Ali",170,46
"Varun Sharma","Sanjay Mishra",12,47
"Varun Sharma","Vinod Khanna",48,47
"Varun Sharma","Mukesh Tiwari",49,47
"Varun Sharma","Pankaj Tripathi",50,47
"Varun Sharma","Shawar Ali",170,47
"Sanjay Mishra","Vinod Khanna",48,12
"Sanjay Mishra","Mukesh Tiwari",49,12
"Sanjay Mishra","Pankaj Tripathi",50,12
"Sanjay Mishra","Shawar Ali",170,12
"Vinod Khanna","Mukesh Tiwari",49,48
"Vinod Khanna","Pankaj Tripathi",50,48
"Vinod Khanna","Shawar Ali",170,48
"Mukesh Tiwari","Pankaj Tripathi",50,49
"Mukesh Tiwari","Shawar Ali",170,49
"Pankaj Tripathi","Shawar Ali",170,50
"Shah Rukh Khan","Priyanka Chopra",9,41
"Shah Rukh Khan","Arjun Rampal",51,41
"Shah Rukh Khan","Isha Koppikar",25,41
"Shah Rukh Khan","Kareena Kapoor",2,41
"Shah Rukh Khan","Boman Irani",6,41
"Shah Rukh Khan","Om Puri",52,41
"Shah Rukh Khan","Pavan Malhotra",171,41
"Priyanka Chopra","Arjun Rampal",51,9
"Priyanka Chopra","Isha Koppikar",25,9
"Priyanka Chopra","Kareena Kapoor",2,9
"Priyanka Chopra","Boman Irani",6,9
"Priyanka Chopra","Om Puri",52,9
"Priyanka Chopra","Pavan Malhotra",171,9
"Arjun Rampal","Isha Koppikar",25,51
"Arjun Rampal","Kareena Kapoor",2,51
"Arjun Rampal","Boman Irani",6,51
"Arjun Rampal","Om Puri",52,51
"Arjun Rampal","Pavan Malhotra",171,51
"Isha Koppikar","Kareena Kapoor",2,25
"Isha Koppikar","Boman Irani",6,25
"Isha Koppikar","Om Puri",52,25
"Isha Koppikar","Pavan Malhotra",171,25
"Kareena Kapoor","Boman Irani",6,2
"Kareena Kapoor","Om Puri",52,2
"Kareena Kapoor","Pavan Malhotra",171,2
"Boman Irani","Om Puri",52,6
"Boman Irani","Pavan Malhotra",171,6
"Om Puri","Pavan Malhotra",171,52
"Shah Rukh Khan","Priyanka Chopra",9,41
"Shah Rukh Khan","Boman Irani",6,41
"Shah Rukh Khan","Lara Dutta",53,41
"Shah Rukh Khan","Kunal Kapoor",54,41
"Shah Rukh Khan","Om Puri",52,41
"Shah Rukh Khan","Alyy Khan",55,41
"Shah Rukh Khan","Nawab Shah",172,41
"Priyanka Chopra","Boman Irani",6,9
"Priyanka Chopra","Lara Dutta",53,9
"Priyanka Chopra","Kunal Kapoor",54,9
"Priyanka Chopra","Om Puri",52,9
"Priyanka Chopra","Alyy Khan",55,9
"Priyanka Chopra","Nawab Shah",172,9
"Boman Irani","Lara Dutta",53,6
"Boman Irani","Kunal Kapoor",54,6
"Boman Irani","Om Puri",52,6
"Boman Irani","Alyy Khan",55,6
"Boman Irani","Nawab Shah",172,6
"Lara Dutta","Kunal Kapoor",54,53
"Lara Dutta","Om Puri",52,53
"Lara Dutta","Alyy Khan",55,53
"Lara Dutta","Nawab Shah",172,53
"Kunal Kapoor","Om Puri",52,54
"Kunal Kapoor","Alyy Khan",55,54
"Kunal Kapoor","Nawab Shah",172,54
"Om Puri","Alyy Khan",55,52
"Om Puri","Nawab Shah",172,52
"Alyy Khan","Nawab Shah",172,55
"Abhishek Bachchan","John Abraham",34,8
"Abhishek Bachchan","Priyanka Chopra",9,8
"Abhishek Bachchan","Bobby Deol",56,8
"Abhishek Bachchan","Kiron Kher",57,8
"Abhishek Bachchan","Sushmita Mukherjee",58,8
"Abhishek Bachchan","Shrey Bawa",59,8
"Abhishek Bachchan","Boman Irani",6,8
"John Abraham","Priyanka Chopra",9,34
"John Abraham","Bobby Deol",56,34
"John Abraham","Kiron Kher",57,34
"John Abraham","Sushmita Mukherjee",58,34
"John Abraham","Shrey Bawa",59,34
"John Abraham","Boman Irani",6,34
"Priyanka Chopra","Bobby Deol",56,9
"Priyanka Chopra","Kiron Kher",57,9
"Priyanka Chopra","Sushmita Mukherjee",58,9
"Priyanka Chopra","Shrey Bawa",59,9
"Priyanka Chopra","Boman Irani",6,9
"Bobby Deol","Kiron Kher",57,56
"Bobby Deol","Sushmita Mukherjee",58,56
"Bobby Deol","Shrey Bawa",59,56
"Bobby Deol","Boman Irani",6,56
"Kiron Kher","Sushmita Mukherjee",58,57
"Kiron Kher","Shrey Bawa",59,57
"Kiron Kher","Boman Irani",6,57
"Sushmita Mukherjee","Shrey Bawa",59,58
"Sushmita Mukherjee","Boman Irani",6,58
"Shrey Bawa","Boman Irani",6,59
"Jacqueline Fernandez","Sushant Singh Rajput",61,60
"Jacqueline Fernandez","Boman Irani",6,60
"Jacqueline Fernandez","Pankaj Tripathi",50,60
"Jacqueline Fernandez","Vikramjeet Virk",62,60
"Jacqueline Fernandez","Sapna Pabbi",63,60
"Jacqueline Fernandez","Vibha Chhibber",64,60
"Jacqueline Fernandez","Kaustubh Kumar",173,60
"Sushant Singh Rajput","Boman Irani",6,61
"Sushant Singh Rajput","Pankaj Tripathi",50,61
"Sushant Singh Rajput","Vikramjeet Virk",62,61
"Sushant Singh Rajput","Sapna Pabbi",63,61
"Sushant Singh Rajput","Vibha Chhibber",64,61
"Sushant Singh Rajput","Kaustubh Kumar",173,61
"Boman Irani","Pankaj Tripathi",50,6
"Boman Irani","Vikramjeet Virk",62,6
"Boman Irani","Sapna Pabbi",63,6
"Boman Irani","Vibha Chhibber",64,6
"Boman Irani","Kaustubh Kumar",173,6
"Pankaj Tripathi","Vikramjeet Virk",62,50
"Pankaj Tripathi","Sapna Pabbi",63,50
"Pankaj Tripathi","Vibha Chhibber",64,50
"Pankaj Tripathi","Kaustubh Kumar",173,50
"Vikramjeet Virk","Sapna Pabbi",63,62
"Vikramjeet Virk","Vibha Chhibber",64,62
"Vikramjeet Virk","Kaustubh Kumar",173,62
"Sapna Pabbi","Vibha Chhibber",64,63
"Sapna Pabbi","Kaustubh Kumar",173,63
"Vibha Chhibber","Kaustubh Kumar",173,64
"Kareena Kapoor","Imran Khan",65,2
"Kareena Kapoor","Boman Irani",6,2
"Kareena Kapoor","Ram Kapoor",66,2
"Kareena Kapoor","Ratna Pathak Shah",67,2
"Kareena Kapoor","Zenobia Shroff",68,2
"Kareena Kapoor","Soniya Mehra",69,2
"Kareena Kapoor","Akshat Verma",70,2
"Kareena Kapoor","Dana Lewis",71,2
"Kareena Kapoor","Rajesh Khattar",174,2
"Imran Khan","Boman Irani",6,65
"Imran Khan","Ram Kapoor",66,65
"Imran Khan","Ratna Pathak Shah",67,65
"Imran Khan","Zenobia Shroff",68,65
"Imran Khan","Soniya Mehra",69,65
"Imran Khan","Akshat Verma",70,65
"Imran Khan","Dana Lewis",71,65
"Imran Khan","Rajesh Khattar",174,65
"Boman Irani","Ram Kapoor",66,6
"Boman Irani","Ratna Pathak Shah",67,6
"Boman Irani","Zenobia Shroff",68,6
"Boman Irani","Soniya Mehra",69,6
"Boman Irani","Akshat Verma",70,6
"Boman Irani","Dana Lewis",71,6
"Boman Irani","Rajesh Khattar",174,6
"Ram Kapoor","Ratna Pathak Shah",67,66
"Ram Kapoor","Zenobia Shroff",68,66
"Ram Kapoor","Soniya Mehra",69,66
"Ram Kapoor","Akshat Verma",70,66
"Ram Kapoor","Dana Lewis",71,66
"Ram Kapoor","Rajesh Khattar",174,66
"Ratna Pathak Shah","Zenobia Shroff",68,67
"Ratna Pathak Shah","Soniya Mehra",69,67
"Ratna Pathak Shah","Akshat Verma",70,67
"Ratna Pathak Shah","Dana Lewis",71,67
"Ratna Pathak Shah","Rajesh Khattar",174,67
"Zenobia Shroff","Soniya Mehra",69,68
"Zenobia Shroff","Akshat Verma",70,68
"Zenobia Shroff","Dana Lewis",71,68
"Zenobia Shroff","Rajesh Khattar",174,68
"Soniya Mehra","Akshat Verma",70,69
"Soniya Mehra","Dana Lewis",71,69
"Soniya Mehra","Rajesh Khattar",174,69
"Akshat Verma","Dana Lewis",71,70
"Akshat Verma","Rajesh Khattar",174,70
"Dana Lewis","Rajesh Khattar",174,71
"Sharman Joshi","Boman Irani",6,4
"Sharman Joshi","Ritwik Sahore",72,4
"Sharman Joshi","Paresh Rawal",73,4
"Sharman Joshi","Deepak Shirke",74,4
"Sharman Joshi","Satyadeep Misra",75,4
"Sharman Joshi","Aakash Dabhade",76,4
"Sharman Joshi","Nilesh Diwekar",77,4
"Sharman Joshi","Vidya Balan",175,4
"Boman Irani","Ritwik Sahore",72,6
"Boman Irani","Paresh Rawal",73,6
"Boman Irani","Deepak Shirke",74,6
"Boman Irani","Satyadeep Misra",75,6
"Boman Irani","Aakash Dabhade",76,6
"Boman Irani","Nilesh Diwekar",77,6
"Boman Irani","Vidya Balan",175,6
"Ritwik Sahore","Paresh Rawal",73,72
"Ritwik Sahore","Deepak Shirke",74,72
"Ritwik Sahore","Satyadeep Misra",75,72
"Ritwik Sahore","Aakash Dabhade",76,72
"Ritwik Sahore","Nilesh Diwekar",77,72
"Ritwik Sahore","Vidya Balan",175,72
"Paresh Rawal","Deepak Shirke",74,73
"Paresh Rawal","Satyadeep Misra",75,73
"Paresh Rawal","Aakash Dabhade",76,73
"Paresh Rawal","Nilesh Diwekar",77,73
"Paresh Rawal","Vidya Balan",175,73
"Deepak Shirke","Satyadeep Misra",75,74
"Deepak Shirke","Aakash Dabhade",76,74
"Deepak Shirke","Nilesh Diwekar",77,74
"Deepak Shirke","Vidya Balan",175,74
"Satyadeep Misra","Aakash Dabhade",76,75
"Satyadeep Misra","Nilesh Diwekar",77,75
"Satyadeep Misra","Vidya Balan",175,75
"Aakash Dabhade","Nilesh Diwekar",77,76
"Aakash Dabhade","Vidya Balan",175,76
"Nilesh Diwekar","Vidya Balan",175,77
"John Abraham","Sonakshi Sinha",78,34
"John Abraham","Tahir Raj Bhasin",79,34
"John Abraham","Narendra Jha",80,34
"John Abraham","Adil Hussain",81,34
"John Abraham","Vikram Kapadia",82,34
"John Abraham","Patricia Hittler",83,34
"John Abraham","Genelia D'souza",84,34
"John Abraham","Raj Babbar",85,34
"John Abraham","Freddy Daruwala",86,34
"John Abraham","Boman Irani",6,34
"Sonakshi Sinha","Tahir Raj Bhasin",79,78
"Sonakshi Sinha","Narendra Jha",80,78
"Sonakshi Sinha","Adil Hussain",81,78
"Sonakshi Sinha","Vikram Kapadia",82,78
"Sonakshi Sinha","Patricia Hittler",83,78
"Sonakshi Sinha","Genelia D'souza",84,78
"Sonakshi Sinha","Raj Babbar",85,78
"Sonakshi Sinha","Freddy Daruwala",86,78
"Sonakshi Sinha","Boman Irani",6,78
"Tahir Raj Bhasin","Narendra Jha",80,79
"Tahir Raj Bhasin","Adil Hussain",81,79
"Tahir Raj Bhasin","Vikram Kapadia",82,79
"Tahir Raj Bhasin","Patricia Hittler",83,79
"Tahir Raj Bhasin","Genelia D'souza",84,79
"Tahir Raj Bhasin","Raj Babbar",85,79
"Tahir Raj Bhasin","Freddy Daruwala",86,79
"Tahir Raj Bhasin","Boman Irani",6,79
"Narendra Jha","Adil Hussain",81,80
"Narendra Jha","Vikram Kapadia",82,80
"Narendra Jha","Patricia Hittler",83,80
"Narendra Jha","Genelia D'souza",84,80
"Narendra Jha","Raj Babbar",85,80
"Narendra Jha","Freddy Daruwala",86,80
"Narendra Jha","Boman Irani",6,80
"Adil Hussain","Vikram Kapadia",82,81
"Adil Hussain","Patricia Hittler",83,81
"Adil Hussain","Genelia D'souza",84,81
"Adil Hussain","Raj Babbar",85,81
"Adil Hussain","Freddy Daruwala",86,81
"Adil Hussain","Boman Irani",6,81
"Vikram Kapadia","Patricia Hittler",83,82
"Vikram Kapadia","Genelia D'souza",84,82
"Vikram Kapadia","Raj Babbar",85,82
"Vikram Kapadia","Freddy Daruwala",86,82
"Vikram Kapadia","Boman Irani",6,82
